,Date,Open,High,Low,Close,Volume
,"Oct 6, 2021",138.99,141.26,138.62,141.19,"5,333,051"
,"Oct 7, 2021",141.75,143.03,141.75,142.32,"5,334,558"
,"Oct 8, 2021",142.29,142.62,141.04,141.73,"6,131,852"
,"Oct 11, 2021",142.37,142.77,141.77,142.32,"5,995,592"
,"Oct 12, 2021",142.6,143.04,141.7,142.11,"6,734,918"
,"Oct 13, 2021",142.4,142.76,141.03,142.44,"5,689,846"
,"Oct 14, 2021",142.83,144.31,142.81,144.05,"6,778,788"
,"Oct 15, 2021",144.52,144.87,143.68,144.42,"6,923,850"
,"Oct 18, 2021",143.55,143.7,142.1,142.34,"9,119,005"
,"Oct 19, 2021",139.08,140.82,138.8,140.66,"9,555,253"
,"Oct 20, 2021",140.15,141.96,139.85,141.21,"7,352,748"
,"Oct 21, 2021",140.86,141.16,139.18,139.33,"6,545,835"
,"Oct 22, 2021",139.39,141.01,139.32,140.83,"5,265,017"
,"Oct 25, 2021",140.41,140.92,139.05,140.85,"5,382,085"
,"Oct 26, 2021",141.62,143.18,141.24,142.85,"6,234,859"
,"Oct 27, 2021",143.14,143.68,141.69,141.83,"9,643,487"
,"Oct 28, 2021",141.89,142.88,141.71,142.68,"4,538,687"
,"Oct 29, 2021",142.16,143.48,142.02,142.99,"6,239,699"
,"Nov 1, 2021",143.36,143.8,142.49,142.64,"5,038,861"
,"Nov 2, 2021",142.72,144.58,142.28,144.06,"9,954,302"
,"Nov 3, 2021",144.13,145.11,143.52,145.05,"7,620,097"
,"Nov 4, 2021",142.84,145.39,142.34,145.32,"6,402,451"
,"Nov 5, 2021",145.44,146.37,144.8,146.04,"6,062,769"
,"Nov 8, 2021",145.5,146.1,144.02,144.95,"5,854,509"
,"Nov 9, 2021",145.03,145.83,144.58,145.39,"4,873,235"
,"Nov 10, 2021",145.74,147.31,145.59,146.82,"7,334,936"
,"Nov 11, 2021",146.86,146.97,146.21,146.4,"4,096,274"
,"Nov 12, 2021",146.74,147.08,145.98,146.56,"5,687,659"
,"Nov 15, 2021",147.03,147.75,146.47,147.4,"5,510,265"
,"Nov 16, 2021",147.39,148.59,147.01,147.19,"7,603,940"
,"Nov 17, 2021",146.97,147.78,146.42,147.1,"4,900,232"
,"Nov 18, 2021",147.04,148.08,146.51,147.12,"5,509,373"
,"Nov 19, 2021",147.95,148.23,146.79,146.82,"6,274,297"
,"Nov 22, 2021",146.97,148.94,146.83,147.8,"6,625,408"
,"Nov 23, 2021",147.83,149.5,147.67,149.44,"7,913,048"
,"Nov 24, 2021",148.77,148.88,147.68,148.66,"5,665,173"
,"Nov 26, 2021",148.58,149.72,147.31,147.47,"6,299,783"
,"Nov 29, 2021",147.79,149.66,146.79,149.02,"7,113,503"
,"Nov 30, 2021",147.81,148.54,144.12,144.58,"11,696,448"
,"Dec 1, 2021",144.85,147.87,144.85,146.4,"8,313,557"
,"Dec 2, 2021",147.01,148.46,146.94,147.26,"9,468,906"
,"Dec 3, 2021",148.02,150,147.66,149.88,"11,200,808"
,"Dec 6, 2021",150.19,152.39,150.19,152.15,"11,935,078"
,"Dec 7, 2021",151.95,152.58,151.27,151.75,"7,913,393"
,"Dec 8, 2021",151.67,152.66,150.28,152.43,"8,329,342"
,"Dec 9, 2021",152.31,154.19,151.6,153.32,"8,334,318"
,"Dec 10, 2021",153.85,155.8,153.43,155.46,"7,172,321"
,"Dec 13, 2021",155.3,158.33,154.91,157.67,"8,944,147"
,"Dec 14, 2021",157.9,158.63,156.66,158.25,"8,677,544"
,"Dec 15, 2021",157.64,159.64,157.64,158.86,"9,152,566"
,"Dec 16, 2021",158.73,161.32,158.42,161.11,"10,852,862"
,"Dec 17, 2021",160.66,161.72,157.31,157.46,"24,352,824"
,"Dec 20, 2021",156.6,158.46,156.57,157.86,"9,202,608"
,"Dec 21, 2021",157.65,158.15,156.79,157.76,"6,946,009"
,"Dec 22, 2021",157.77,159.58,157.27,159.32,"6,626,414"
,"Dec 23, 2021",159.5,160.92,159.44,160.1,"5,640,972"
,"Dec 27, 2021",160.67,161.99,160.61,161.97,"4,548,828"
,"Dec 28, 2021",161.96,163.38,161.94,162.84,"5,929,835"
,"Dec 29, 2021",163.21,164.98,163.08,164.19,"5,346,427"
,"Dec 30, 2021",164.4,164.59,162.61,162.77,"5,911,500"
